function,bugs,calc_length,calc_time,complexity,difficulty,effort,length,lloc,maintainability,ncalls,sloc,vocabulary,volume
bubble_sort,135.0,16.36452797660028,7.5,4.0,3.0,135.0,15,9,94.28373897016222,980,9,8,45.0
insertion_sort,339.97789910421284,35.60964047443681,18.887661061345156,4.0,4.375,339.97789910421284,21,9,94.63867030391854,3,9,13,77.70923408096293
selection_sort,15.509775004326936,10.0,0.861654166907052,4.0,1.0,15.509775004326936,6,8,100.0,1027,8,6,15.509775004326936
quick_sort,983.304671909524,79.50977500432694,54.62803732830689,3.0,5.25,983.304671909524,42,22,81.87522003902697,3073,22,22,187.29612798276648
merge_sort,994.0150381457989,63.61549134016113,55.22305767476661,4.5,6.0,994.0150381457989,39,28,81.01933878593859,18427,26,19,165.66917302429982
heap_sort,1135.1668268322892,104.71062275542812,63.06482371290495,4.5,5.684210526315789,1135.1668268322892,42,19,84.07746288277951,10347,19,27,199.7052750908657
