trial,machine_type,function,cpu,ram,time
15,ubuntu_pc,quick_sort,36.95,19.702,0.014
15,ubuntu_pc,heap_sort,49.47,19.685,0.034
16,ubuntu_pc,bubble_sort,99.54,19.64,5.843
16,ubuntu_pc,selection_sort,98.59,19.685,1.568
16,ubuntu_pc,insertion_sort,98.46,19.689,1.636
16,ubuntu_pc,merge_sort,37.15,20.005,0.021
16,ubuntu_pc,quick_sort,47.87,19.714,0.032
16,ubuntu_pc,heap_sort,49.53,19.698,0.034
17,ubuntu_pc,bubble_sort,99.74,19.608,5.86
17,ubuntu_pc,selection_sort,98.86,19.649,1.633
17,ubuntu_pc,insertion_sort,98.78,19.653,1.661
17,ubuntu_pc,merge_sort,37.2,19.96,0.021
17,ubuntu_pc,quick_sort,37.0,19.673,0.013
17,ubuntu_pc,heap_sort,49.4,19.657,0.032
18,ubuntu_pc,bubble_sort,99.51,19.522,5.86
18,ubuntu_pc,selection_sort,98.65,19.567,1.561
18,ubuntu_pc,insertion_sort,99.06,19.571,1.676
18,ubuntu_pc,merge_sort,0.0,19.886,0.022
18,ubuntu_pc,quick_sort,36.9,19.599,0.013
18,ubuntu_pc,heap_sort,49.4,19.579,0.032
19,ubuntu_pc,bubble_sort,99.57,19.431,5.812
19,ubuntu_pc,selection_sort,99.0,19.472,1.576
19,ubuntu_pc,insertion_sort,98.7,19.476,1.664
19,ubuntu_pc,merge_sort,36.9,19.857,0.021
19,ubuntu_pc,quick_sort,36.8,19.501,0.012
19,ubuntu_pc,heap_sort,49.83,19.485,0.033
20,ubuntu_pc,bubble_sort,99.64,19.53,5.869
20,ubuntu_pc,selection_sort,99.03,19.571,1.575
20,ubuntu_pc,insertion_sort,98.81,19.575,1.654
20,ubuntu_pc,merge_sort,37.25,19.956,0.021
20,ubuntu_pc,quick_sort,37.1,19.599,0.012
20,ubuntu_pc,heap_sort,49.6,19.583,0.032
21,ubuntu_pc,bubble_sort,99.6,19.632,5.862
21,ubuntu_pc,selection_sort,98.43,19.673,1.58
21,ubuntu_pc,insertion_sort,99.07,19.677,1.643
21,ubuntu_pc,merge_sort,37.0,19.993,0.021
21,ubuntu_pc,quick_sort,37.0,19.702,0.013
21,ubuntu_pc,heap_sort,49.47,19.685,0.032
22,ubuntu_pc,bubble_sort,99.66,19.644,5.846
22,ubuntu_pc,selection_sort,98.63,19.685,1.606
22,ubuntu_pc,insertion_sort,98.79,19.689,1.78
22,ubuntu_pc,merge_sort,37.15,19.997,0.021
22,ubuntu_pc,quick_sort,37.0,19.71,0.013
22,ubuntu_pc,heap_sort,49.53,19.698,0.033
23,ubuntu_pc,bubble_sort,99.63,19.595,5.801
23,ubuntu_pc,selection_sort,99.04,19.636,1.619
23,ubuntu_pc,insertion_sort,98.9,19.64,1.647
23,ubuntu_pc,merge_sort,36.9,19.952,0.021
23,ubuntu_pc,quick_sort,37.3,19.665,0.013
23,ubuntu_pc,heap_sort,49.4,19.649,0.032
24,ubuntu_pc,bubble_sort,99.67,19.608,5.825
24,ubuntu_pc,selection_sort,98.9,19.649,1.667
24,ubuntu_pc,insertion_sort,98.85,19.653,1.656
24,ubuntu_pc,merge_sort,36.95,19.956,0.021
24,ubuntu_pc,quick_sort,36.95,19.673,0.013
24,ubuntu_pc,heap_sort,49.4,19.657,0.034
25,ubuntu_pc,bubble_sort,99.79,19.608,5.909
25,ubuntu_pc,selection_sort,99.07,19.649,1.577
25,ubuntu_pc,insertion_sort,98.7,19.653,1.66
25,ubuntu_pc,merge_sort,0.0,19.968,0.021
25,ubuntu_pc,quick_sort,0.0,19.677,0.013
25,ubuntu_pc,heap_sort,49.6,19.661,0.033
26,ubuntu_pc,bubble_sort,99.73,19.464,5.89
26,ubuntu_pc,selection_sort,99.03,19.505,1.574
26,ubuntu_pc,insertion_sort,99.04,19.509,1.677
26,ubuntu_pc,merge_sort,37.0,19.89,0.021
26,ubuntu_pc,quick_sort,36.85,19.534,0.013
26,ubuntu_pc,heap_sort,49.7,19.517,0.033
27,ubuntu_pc,bubble_sort,99.63,19.583,5.845
27,ubuntu_pc,selection_sort,98.62,19.628,1.566
27,ubuntu_pc,insertion_sort,98.5,19.628,1.639
27,ubuntu_pc,merge_sort,37.0,19.948,0.021
27,ubuntu_pc,quick_sort,37.05,19.657,0.013
27,ubuntu_pc,heap_sort,49.83,19.64,0.033
28,ubuntu_pc,bubble_sort,99.7,19.649,5.852
28,ubuntu_pc,selection_sort,99.07,19.689,1.576
28,ubuntu_pc,insertion_sort,98.85,19.694,1.655
28,ubuntu_pc,merge_sort,37.25,20.001,0.021
28,ubuntu_pc,quick_sort,37.05,19.718,0.013
28,ubuntu_pc,heap_sort,49.77,19.702,0.033
29,ubuntu_pc,bubble_sort,99.57,19.608,5.954
29,ubuntu_pc,selection_sort,98.87,19.653,1.588
29,ubuntu_pc,insertion_sort,98.66,19.657,1.666
29,ubuntu_pc,merge_sort,37.0,19.968,0.021
29,ubuntu_pc,quick_sort,36.85,19.677,0.013
29,ubuntu_pc,heap_sort,49.33,19.661,0.033
30,ubuntu_pc,bubble_sort,99.67,19.542,5.837
30,ubuntu_pc,selection_sort,99.05,19.587,1.582
30,ubuntu_pc,insertion_sort,98.65,19.591,1.669
30,ubuntu_pc,merge_sort,37.0,19.972,0.021
30,ubuntu_pc,quick_sort,37.65,19.616,0.013
30,ubuntu_pc,heap_sort,49.6,19.599,0.033
31,ubuntu_pc,bubble_sort,99.68,19.649,5.858
31,ubuntu_pc,selection_sort,98.82,19.689,1.584
31,ubuntu_pc,insertion_sort,98.89,19.694,1.651
31,ubuntu_pc,merge_sort,37.15,20.005,0.021
31,ubuntu_pc,quick_sort,36.95,19.714,0.013
31,ubuntu_pc,heap_sort,49.63,19.698,0.032
32,ubuntu_pc,bubble_sort,99.65,19.677,5.906
32,ubuntu_pc,selection_sort,99.09,19.722,1.57
32,ubuntu_pc,insertion_sort,98.92,19.722,1.656
32,ubuntu_pc,merge_sort,37.0,20.042,0.021
32,ubuntu_pc,quick_sort,36.9,19.751,0.013
32,ubuntu_pc,heap_sort,49.6,19.739,0.033
33,ubuntu_pc,bubble_sort,99.63,19.681,5.84
33,ubuntu_pc,selection_sort,98.66,19.722,1.566
33,ubuntu_pc,insertion_sort,98.79,19.726,1.77
33,ubuntu_pc,merge_sort,37.0,20.038,0.021
33,ubuntu_pc,quick_sort,37.0,19.747,0.013
33,ubuntu_pc,heap_sort,49.4,19.73,0.032
34,ubuntu_pc,bubble_sort,99.61,19.661,5.766
34,ubuntu_pc,selection_sort,98.85,19.702,1.594
34,ubuntu_pc,insertion_sort,98.68,19.706,1.617
34,ubuntu_pc,merge_sort,37.0,20.017,0.021
34,ubuntu_pc,quick_sort,37.0,19.726,0.013
34,ubuntu_pc,heap_sort,49.63,19.71,0.032
35,ubuntu_pc,bubble_sort,99.69,19.599,5.94
